Name,Latitude,Longitude
Accra,5.55,-0.2167
Addis Ababa,9.0333,38.7
Algiers,36.7529,3.0419
Amman,31.95,35.9333
Andorra la Vella,42.5075,1.5214
Ankara,39.9333,32.8667
Asmara,15.3333,38.9333
Ashgabat,37.95,58.3833
Asuncion,-25.2667,-57.6667
Astana,51.1667,71.45
Athens,37.9833,23.7333
Baghdad,33.3,44.4167
Baku,40.3953,49.8821
Bamako,12.65,-7.9833
Bandar Seri Begawan,4.9333,114.9333
Bangkok,13.75,100.5167
Bangui,4.3667,18.5833
Banjul,13.45,-16.5667
Basseterre,17.3,-62.7333
Beijing,39.9139,116.3917
Beirut,33.8667,35.5333
Belgrade,44.8167,20.4667
Berlin,52.5167,13.3833
Bishkek,42.8667,74.6167
Bissau,11.85,-15.5833
Bogota,4.65,-74.0833
Brasilia,-15.7942,-47.8825
Bratislava,48.15,17.1
Brazzaville,-4.2667,15.2833
Bridgetown,13.1,-59.6167
Bucharest,44.4333,26.1
Budapest,47.4833,19.0667
Buenos Aires,-34.6037,-58.3816
Cairo,30.05,31.2333
Canberra,-35.2833,149.1281
Cape Town,-33.9167,18.4167
Caracas,10.5,-66.9167
Castries,14.0167,-60.9833
Chisinau,47.0167,28.85
Conakry,9.5,-13.7
Copenhagen,55.6667,12.5833
Dakar,14.7333,-17.6333
Damascus,33.5,36.2833
Dhaka,23.8103,90.4125
Dili,-8.5667,125.5667
Djibouti,11.6,43.1667
Dodoma,-6.1667,35.7333
Doha,25.3,51.5333
Dublin,53.3333,-6.25
Dushanbe,38.5667,68.7833
Freetown,8.4833,-13.2333
Funafuti,-8.5167,179.2167
Gaborone,-24.65,25.9
George Town,19.3,-81.3833
Georgetown,6.8167,-58.1667
Guatemala City,14.6167,-90.5167
Hanoi,21.0333,105.85
Harare,-17.8333,31.05
Hargeisa,9.5667,44.0667
Havana,23.1333,-82.3667
Helsinki,60.1667,24.9333
Honolulu,21.3,-157.85
Islamabad,33.6667,73.1667
Jakarta,-6.1667,106.8167
Juba,4.85,31.6
Kabul,34.5167,69.1833
Kampala,0.3167,32.5833
Kathmandu,27.7167,85.3167
Kigali,-1.95,30.0667
Kingston,17.9667,-76.8
Kingstown,13.15,-61.2
Kinshasa,-4.0333,15.2667
Kuwait City,29.3667,47.9667
Libreville,-0.3833,9.45
Lilongwe,-13.9667,33.7833
Lima,-12.05,-77.0333
Lisbon,38.7167,-9.1333
Ljubljana,46.05,14.5167
Lomé,6.1333,1.2167
London,51.5,-0.0833
Luanda,-8.8167,13.2333
Lusaka,-15.4167,28.2833
Luxembourg,49.6,6.1333
Madrid,40.4,-3.6833
Majuro,7.0667,171.3833
Malabo,3.75,8.7833
Malé,4.1667,73.5
Managua,12.1333,-86.25
Manama,26.0333,50.55
Maputo,-25.9667,32.5833
Marigot,18.0667,-63.0833
Maseru,-29.3167,27.4833
Mbabane,-26.3167,31.1333
Mexico City,19.4333,-99.1333
Minsk,53.9,27.5667
Mogadishu,2.0333,45.3333
Monaco,43.7333,7.4167
Monrovia,6.3,-10.8
Montevideo,-34.85,-56.1667
Moroni,-11.7,43.2333
Moscow,55.75,37.6167
Muscat,23.6167,58.5833
Nairobi,-1.2833,36.8167
Nassau,25.0583,-77.3333
N'Djamena,12.1,15.0667
New Delhi,28.6667,77.2167
Ngerulmud,7.5,134.6167
Niamey,13.5167,2.1167
Nicosia,35.1667,33.3667
Nouakchott,18.0667,-15.9667
Oslo,59.9167,10.75
Ottawa,45.4215,-75.6972
Palikir,6.9167,158.15
Panama City,8.9833,-79.5333
Papeete,-17.5333,-149.5667
Paramaribo,5.8333,-55.1667
Paris,48.8667,2.3333
Phnom Penh,11.55,104.9167
Podgorica,42.4333,19.2667
Port-au-Prince,18.5333,-72.3333
Port Louis,-20.1667,57.5
Port Moresby,-9.45,147.1833
Port of Spain,10.6667,-61.5167
Porto-Novo,6.4667,2.6167
Prague,50.0833,14.4167
Praia,14.9333,-23.5167
Pretoria,-25.7333,28.1833
Pyongyang,39.0333,125.7667
Quito,-0.2167,-78.5
Rabat,34.0167,-6.8333
Riga,56.95,24.1
Riyadh,24.65,46.7
Road Town,18.4167,-64.6167
Rome,41.9,12.4833
Roseau,15.3,-61.4
San Jose,9.9333,-84.0833
San Marino,43.9333,12.45
San Salvador,13.7,-89.2
Sana'a,15.35,44.2
Santiago,-33.45,-70.6667
Santo Domingo,18.4667,-69.9
Sarajevo,43.85,18.35
Seoul,37.5667,126.9833
Singapore,1.2833,103.85
Skopje,41.9967,21.4333
Sofia,42.7,23.3333
Stockholm,59.3333,18.0667
Suva,-18.1333,178.4167
Tallinn,59.4333,24.7167
Tashkent,41.3167,69.25
Tbilisi,41.7167,44.7833
Tegucigalpa,14.1,-87.2167
Tehran,35.7,51.4167
Thimphu,27.4667,89.6333
Tirana,41.3275,19.8189
Tokyo,35.6895,139.6917
Tripoli,32.8667,13.1667
Tunis,36.8,10.1833
Ulaanbaatar,47.9167,106.9167
Vaduz,47.1333,9.5167
Valletta,35.9,14.4667
Vatican City,41.9,12.45
Victoria,-4.6333,55.45
Vienna,48.2082,16.3738
Vientiane,17.9667,102.6
Vilnius,54.6833,25.3167
Warsaw,52.2333,21
Washington,38.8951,-77.0364
Wellington,-41.2833,174.7667
Willemstad,12.1,-68.9333
Windhoek,-22.5667,17.0833
Yamoussoukro,6.8167,-5.2833
Yaounde,3.8667,11.5167
Yerevan,40.1814,44.5136
Zagreb,45.8,15.9667
